feature,classifier,spec,accuracy,processing_time_sec
DCT_225,kmeans_per_class,clusters_per_class=1,0.9155,0.22174417000132962
DCT_225,kmeans_per_class,clusters_per_class=4,0.959,0.6541949740003474
DCT_225,kmeans_per_class,clusters_per_class=16,0.976,1.9490145780000603
DCT_225,kmeans_per_class,clusters_per_class=32,0.979,3.4664100169993617
DCT_225,svm,kernel=linear,0.9815,0.7191963130007935
DCT_225,svm,"kernel=rbf,gamma=scale,C=10.0",0.9855,1.847736300998804
PCA_95,kmeans_per_class,clusters_per_class=1,0.9165,0.1188066990016523
PCA_95,kmeans_per_class,clusters_per_class=4,0.9595,0.6265959000011208
PCA_95,kmeans_per_class,clusters_per_class=16,0.9775,1.6687373320000916
PCA_95,kmeans_per_class,clusters_per_class=32,0.9775,2.531726978999359
PCA_95,svm,kernel=linear,0.9785,0.5935704319999786
PCA_95,svm,"kernel=rbf,gamma=scale,C=10.0",0.9895,2.0535139100011293
HOG,kmeans_per_class,clusters_per_class=1,0.969,6.676960681999844
HOG,kmeans_per_class,clusters_per_class=4,0.9865,14.984095878000517
HOG,kmeans_per_class,clusters_per_class=16,0.994,22.07951068500006
HOG,kmeans_per_class,clusters_per_class=32,0.9935,33.54423979300009
HOG,svm,kernel=linear,0.997,4.611604880999948
HOG,svm,"kernel=rbf,gamma=scale,C=10.0",0.998,11.6854845809994
