model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemini-2.0-flash-001,82,2,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,258,4,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,278,9,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,133,1,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,143,1,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,86,3,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,185,7,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,384,8,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,338,4,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,356,6,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,312,6,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,257,9,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,227,3,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,186,0,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,566,0,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,224,7,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,176,8,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,440,5,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,119,2,,0,,http_402,0,0,0
google/gemini-2.0-flash-001,381,5,,0,,http_402,0,0,0
