model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemini-3-flash-preview,5597,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,9154,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,908,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,7657,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,1261,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,1480,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,3123,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,5138,3,2,0,2,,1289,1,1290
google/gemini-3-flash-preview,6385,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,8604,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,6658,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,8391,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,7079,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,4107,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,2231,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,7469,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,1848,0,5,0,5,,1289,1,1290
google/gemini-3-flash-preview,3848,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,4285,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,1414,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,5710,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,4225,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,2326,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,8708,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,4544,0,3,0,3,,1289,1,1290
google/gemini-3-flash-preview,1321,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,2409,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,2641,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,8280,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,9555,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,2155,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,6970,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,5881,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,9205,0,9,0,9,,1289,1,1290
google/gemini-3-flash-preview,638,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,8411,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,9738,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,8249,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,3202,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,8966,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,2998,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,9974,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,4789,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,429,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,5017,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,9949,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,7684,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,493,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,6935,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,8718,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,4385,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,7997,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,7534,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,1615,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,2275,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,3825,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,4003,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,5682,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,9972,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,145,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,4635,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,6443,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,9067,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,2187,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,5712,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,9396,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,2605,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,4905,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,1653,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,8791,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,9273,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,1187,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,7485,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,2411,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,8203,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,4029,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,7842,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,7867,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,383,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,3610,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,1632,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,2196,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,848,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,4712,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,1981,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,7091,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,2295,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,1823,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,9657,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,2428,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,9752,3,2,0,2,,1289,1,1290
google/gemini-3-flash-preview,2241,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,9912,6,8,0,8,,1289,1,1290
google/gemini-3-flash-preview,2067,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,6747,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,4009,0,6,0,6,,1289,1,1290
google/gemini-3-flash-preview,5007,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,1590,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,8946,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,1541,9,9,1,9,,1289,1,1290
