model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemini-3-flash-preview,3690,5,5,1,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,1910,8,8,1,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,5551,3,3,1,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,7657,2,2,1,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,3554,5,0,0,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,1981,3,4,0,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,8541,8,8,1,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,4304,6,6,1,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,3610,9,9,1,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,5533,8,8,1,"5,8,3,2,0,4,8,6,9,8",,11125,19,11144
google/gemini-3-flash-preview,8585,8,8,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,9067,3,3,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,9154,6,6,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,6443,8,8,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,2641,6,6,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,8791,7,7,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,4455,0,0,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,2295,1,1,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,2187,1,1,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,129,5,5,1,"8, 3, 6, 8, 6, 7, 0, 1, 1, 5",,11125,28,11153
google/gemini-3-flash-preview,7381,3,2,0,"2,2,4,8,0,9,7,6,8,7",,11125,19,11144
google/gemini-3-flash-preview,9450,2,2,1,"2,2,4,8,0,9,7,6,8,7",,11125,19,11144
google/gemini-3-flash-preview,5710,4,4,1,"2,2,4,8,0,9,7,6,8,7",,11125,19,11144
google/gemini-3-flash-preview,5196,8,8,1,"2,2,4,8,0,9,7,6,8,7",,11125,19,11144
google/gemini-3-flash-preview,589,0,0,1,"2,2,4,8,0,9,7,6,8,7",,11125,19,11144
google/gemini-3-flash-preview,3275,5,9,0,"2,2,4,8,0,9,7,6,8,7",,11125,19,11144
google/gemini-3-flash-preview,9125,7,7,1,"2,2,4,8,0,9,7,6,8,7",,11125,19,11144
google/gemini-3-flash-preview,3499,6,6,1,"2,2,4,8,0,9,7,6,8,7",,11125,19,11144
