model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemini-3-flash-preview,402,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,4789,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,7485,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,9846,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,9029,9,5,0,5,,1289,1,1290
google/gemini-3-flash-preview,8048,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,5003,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,7867,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,1414,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,8367,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,5455,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,1541,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,2521,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,4926,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,1842,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,9255,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,3371,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,963,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,1586,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,2488,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,6169,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,2287,0,0,1,0,,1290,1,1291
google/gemini-3-flash-preview,5923,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,9555,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,1590,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,9072,9,5,0,5,,1289,1,1290
google/gemini-3-flash-preview,2231,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,7534,0,1,0,1,,1289,1,1290
google/gemini-3-flash-preview,3825,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,5781,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,9876,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,8280,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,5167,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,9912,6,8,0,8,,1289,1,1290
google/gemini-3-flash-preview,4192,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,8616,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,9659,0,1,0,1,,1289,1,1290
google/gemini-3-flash-preview,7329,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,15,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,7557,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,1359,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,1556,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,7197,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,4905,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,7243,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,3394,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,6538,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,5597,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,3070,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,4285,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,4996,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,2895,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,6116,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,7768,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,2503,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,2067,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,9662,7,7,1,7,,1290,1,1291
google/gemini-3-flash-preview,648,0,5,0,5,,1289,1,1290
google/gemini-3-flash-preview,7592,2,7,0,7,,1289,1,1290
google/gemini-3-flash-preview,4275,3,7,0,7,,1289,1,1290
google/gemini-3-flash-preview,8966,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,8791,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,2836,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,5039,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,1739,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,7328,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,5439,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,6443,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,1981,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,4378,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,908,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,8546,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,8723,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,2953,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,5573,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,3554,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,9320,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,5038,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,5905,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,8100,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,5138,3,2,0,2,,1289,1,1290
google/gemini-3-flash-preview,8147,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,5395,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,638,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,4207,0,8,0,8,,1289,1,1290
google/gemini-3-flash-preview,4523,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,7091,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,5881,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,5533,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,3915,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,1363,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,383,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,6971,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,3863,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,8996,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,6507,3,2,0,2,,1289,1,1290
google/gemini-3-flash-preview,1158,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,9824,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,9577,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,765,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,9882,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,7069,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,2672,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,7273,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,8250,0,1,0,1,,1289,1,1290
google/gemini-3-flash-preview,753,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,493,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,2038,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,6709,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,5639,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,3635,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,5865,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,7684,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,8946,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,3639,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,589,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,5478,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,3,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,6742,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,9918,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,1207,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,1743,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,8925,9,9,1,9,,1289,1,1290
google/gemini-3-flash-preview,8279,3,4,0,4,,1289,1,1290
google/gemini-3-flash-preview,2461,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,5787,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,1653,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,4009,0,6,0,6,,1289,1,1290
google/gemini-3-flash-preview,7022,0,0,1,0,,1289,1,1290
google/gemini-3-flash-preview,3094,0,1,0,1,,1289,1,1290
google/gemini-3-flash-preview,295,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,9175,5,5,1,5,,1289,1,1290
google/gemini-3-flash-preview,2114,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,2813,3,3,1,3,,1289,1,1290
google/gemini-3-flash-preview,2353,1,1,1,1,,1289,1,1290
google/gemini-3-flash-preview,5463,7,7,1,7,,1289,1,1290
google/gemini-3-flash-preview,1867,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,4418,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,160,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,8374,8,8,1,8,,1289,1,1290
google/gemini-3-flash-preview,2196,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,7005,2,2,1,2,,1289,1,1290
google/gemini-3-flash-preview,9696,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,4250,6,6,1,6,,1289,1,1290
google/gemini-3-flash-preview,2650,4,4,1,4,,1289,1,1290
google/gemini-3-flash-preview,4544,0,3,0,3,,1289,1,1290
