model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemini-3-flash-preview,3499,6,6,1,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,1998,5,5,1,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,1198,1,1,1,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,1384,8,8,1,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,5138,3,2,0,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,963,4,4,1,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,8203,9,9,1,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,7328,7,7,1,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,2287,0,0,1,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
google/gemini-3-flash-preview,9906,2,3,0,"6,5,1,8,2,4,9,7,0,3",,11125,19,11144
