model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemma-4-31b-it,2362,9,9,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,5541,8,8,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,6835,9,9,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,1198,1,1,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,6191,2,2,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,6562,0,0,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,1414,8,8,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,9824,3,3,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,4931,1,1,1,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,3541,2,6,0,"9,8,9,1,2,0,8,3,1,6",,3094,20,3114
google/gemma-4-31b-it,753,4,2,0,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,3044,6,6,1,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,2895,3,3,1,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,9972,4,4,1,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,3218,0,0,1,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,6538,7,6,0,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,638,5,5,1,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,7116,5,5,1,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,7181,7,7,1,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
google/gemma-4-31b-it,4709,6,6,1,"2,6,3,4,0,6,5,5,7,6",,3094,20,3114
