model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemma-4-31b-it,8274,3,,0,,http_400,0,0,0
google/gemma-4-31b-it,5188,7,,0,,http_400,0,0,0
google/gemma-4-31b-it,6970,8,,0,,http_400,0,0,0
google/gemma-4-31b-it,9657,8,,0,,http_400,0,0,0
google/gemma-4-31b-it,2223,1,,0,,http_400,0,0,0
google/gemma-4-31b-it,7379,4,,0,,http_400,0,0,0
google/gemma-4-31b-it,8740,5,,0,,http_400,0,0,0
google/gemma-4-31b-it,1743,2,,0,,http_400,0,0,0
google/gemma-4-31b-it,9315,1,,0,,http_400,0,0,0
google/gemma-4-31b-it,2494,5,,0,,http_400,0,0,0
google/gemma-4-31b-it,8048,9,9,1,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,4064,9,9,1,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,5395,6,6,1,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,9270,0,1,0,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,9555,4,3,0,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,1848,0,0,1,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,1321,6,6,1,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,9125,7,7,1,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,5931,3,2,0,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
google/gemma-4-31b-it,2067,2,6,0,"9,9,6,1,3,0,6,7,2,6",,2839,20,2859
