batch_id,model,batch_size,file_numbers,true_labels,pred_labels,batch_correct,batch_attempted,error,http_status,raw_response,prompt_tokens,completion_tokens,total_tokens
1,google/gemma-4-31b-it,10,3676|6522|2223|687|8777|9273|8203|4418|6385|4523,4|0|1|4|2|1|9|2|1|4,2|0|1|4|2|1|9|6|1|4,8,10,,200,"2,0,1,4,2,1,9,6,1,4",3094,20,3114
2,google/gemma-4-31b-it,10,4953|4607|959|2196|2326|1524|589|1556|9738|963,6|8|0|6|1|7|0|6|5|4,6|8|0|6|1|7|0|6|5|4,10,10,,200,"6,8,0,6,1,7,0,6,5,4",3094,20,3114
3,google/gemma-4-31b-it,10,429|4064|4304|5913|8087|2492|5639|5138|5931|2797,3|9|6|6|5|5|8|3|3|3,3|9|6|6|0|5|8|3|3|2,8,10,,200,"3,9,6,6,0,5,8,3,3,2",3094,20,3114
4,google/gemma-4-31b-it,10,8411|4926|146|1414|4104|9876|1295|586|6169|6355,9|9|0|8|7|4|3|1|1|6,9|9|0|8|7|4|3|1|1|6,10,10,,200,"9,9,0,8,7,4,3,1,1,6",3094,20,3114
5,google/gemma-4-31b-it,10,7842|2429|3306|9974|168|7768|908|6709|9099|1867,6|7|8|8|1|0|2|1|7|8,6|7|8|8|1|0|2|1|7|8,10,10,,200,"6,7,8,8,1,0,2,1,7,8",3094,20,3114
6,google/gemma-4-31b-it,10,3749|8100|5842|4996|5978|6171|1207|2182|2494|638,2|5|2|0|5|1|6|6|5|5,2|5|2|0|5|1|6|6|5|5,10,10,,200,"2,5,2,0,5,1,6,6,5,5",3094,20,3114
7,google/gemma-4-31b-it,10,3464|7867|3348|7684|4457|6878|1881|3143|8048|5039,0|1|2|9|2|5|5|6|9|6,0|1|2|9|0|5|5|6|9|6,9,10,,200,"0,1,2,9,0,5,5,6,9,6",3094,20,3114
8,google/gemma-4-31b-it,10,4904|7379|7469|2439|2461|3994|4712|5395|8549|9072,0|4|9|6|1|1|2|6|3|9,0|4|9|6|1|1|2|6|2|9,9,10,,200,"0,4,9,6,1,1,2,6,2,9",3094,20,3114
9,google/gemma-4-31b-it,10,6399|5923|2353|1972|3308|8289|9281|7005|7657|4369,0|3|1|6|7|9|3|2|2|2,0|3|1|6|7|9|2|2|2|2,9,10,,200,"0,3,1,6,7,9,2,2,2,2",3094,20,3114
10,google/gemma-4-31b-it,10,7181|4455|2479|6343|5455|7381|5038|5629|449|5049,7|0|1|8|9|3|3|8|4|9,7|0|1|6|9|2|3|8|4|9,8,10,,200,"7,0,1,6,9,2,3,8,4,9",3094,20,3114
11,google/gemma-4-31b-it,10,2061|4870|5653|2641|9662|3581|6538|7419|129|500,1|7|7|6|7|6|7|7|5|6,1|7|7|6|7|6|6|7|5|6,9,10,,200,"1,7,7,6,7,6,6,7,5,6",3094,20,3114
12,google/gemma-4-31b-it,10,8723|9125|9752|1722|7807|2672|2275|2657|6537|8776,1|7|3|7|3|8|2|3|6|1,1|7|2|3|2|8|5|2|6|1,5,10,,200,"1,7,2,3,2,8,5,2,6,1",3094,20,3114
13,google/gemma-4-31b-it,10,3094|1981|999|7534|5501|8227|6299|6469|1842|7614,0|3|9|0|9|2|5|4|0|7,1|2|9|6|9|2|5|4|0|7,7,10,,200,"1,2,9,6,9,2,5,4,0,7",3094,20,3114
14,google/gemma-4-31b-it,10,4789|7615|6507|8616|5712|1123|9565|3594|2428|8570,4|3|3|5|7|5|5|8|6|4,4|3|2|5|1|5|5|8|6|4,8,10,,200,"4,3,2,5,1,5,5,8,6,4",3094,20,3114
15,google/gemma-4-31b-it,10,5815|9856|2547|7357|7069|3632|1053|5370|160|5682,4|6|0|1|7|0|1|8|2|9,4|6|0|1|7|0|1|8|2|9,10,10,,200,"4,6,0,1,7,0,1,8,2,9",3094,20,3114
16,google/gemma-4-31b-it,10,9609|6658|9067|3657|6775|4060|2813|9315|6443|6969,9|3|3|4|3|7|3|1|8|1,9|3|3|4|3|7|3|1|8|1,10,10,,200,"9,3,3,4,3,7,3,1,8,1",3094,20,3114
17,google/gemma-4-31b-it,10,3073|7997|2652|1261|3179|2295|6645|2110|1590|2852,0|7|5|8|1|1|0|6|4|0,0|7|5|8|1|1|0|6|4|0,10,10,,200,"0,7,5,8,1,1,0,6,4,0",3094,20,3114
18,google/gemma-4-31b-it,10,4192|2038|7715|523|9555|8585|4285|4905|5881|5544,2|9|0|4|4|8|8|2|8|4,6|9|0|2|4|8|8|2|7|4,7,10,,200,"6,9,0,2,4,8,8,2,7,4",3094,20,3114
