batch_id,model,batch_size,file_numbers,true_labels,pred_labels,batch_correct,batch_attempted,error,http_status,raw_response,prompt_tokens,completion_tokens,total_tokens
1,google/gemma-4-31b-it,5,3657|15|5003|8996|9876,4|4|4|6|4,||||,0,0,http_402,402,,0,0,0
2,google/gemma-4-31b-it,5,9696|2155|2362|2419|9029,6|5|9|4|9,||||,0,0,http_402,402,,0,0,0
3,google/gemma-4-31b-it,5,500|2338|6935|8549|1123,6|7|2|3|5,||||,0,0,http_402,402,,0,0,0
4,google/gemma-4-31b-it,5,2356|4369|2231|1881|6838,2|2|4|5|1,||||,0,0,http_402,402,,0,0,0
5,google/gemma-4-31b-it,5,7684|6299|2067|687|1739,9|5|2|4|5,||||,0,0,http_402,402,,0,0,0
6,google/gemma-4-31b-it,5,9846|8100|4207|6709|3218,3|5|0|1|0,||||,0,0,http_402,402,,0,0,0
7,google/gemma-4-31b-it,5,638|3306|9072|9067|875,5|8|9|3|9,||||,0,0,http_402,402,,0,0,0
8,google/gemma-4-31b-it,5,9906|1187|3863|7867|8740,2|0|2|1|5,||||,0,0,http_402,402,,0,0,0
9,google/gemma-4-31b-it,5,2187|908|2888|5478|648,1|2|0|3|0,||||,0,0,http_402,402,,0,0,0
10,google/gemma-4-31b-it,5,2458|2411|2908|7243|1198,8|0|8|5|1,||||,0,0,http_402,402,,0,0,0
11,google/gemma-4-31b-it,5,2895|4635|8570|6188|2813,3|6|4|7|3,||||,0,0,http_402,402,,0,0,0
12,google/gemma-4-31b-it,5,146|8374|5732|9659|4064,0|8|4|0|9,||||,0,0,http_402,402,,0,0,0
13,google/gemma-4-31b-it,5,7997|9912|3073|8880|2326,7|6|0|9|1,||||,0,0,http_402,402,,0,0,0
14,google/gemma-4-31b-it,5,7419|2503|198|73|8367,7|3|9|8|8,||||,0,0,http_402,402,,0,0,0
15,google/gemma-4-31b-it,5,5740|1053|3594|1480|4275,8|1|8|7|3,||||,0,0,http_402,402,,0,0,0
16,google/gemma-4-31b-it,5,2110|1743|8604|8956|4250,6|2|1|1|6,||||,0,0,http_402,402,,0,0,0
17,google/gemma-4-31b-it,5,9657|5007|9256|6979|5122,8|3|7|7|6,||||,0,0,http_402,402,,0,0,0
18,google/gemma-4-31b-it,5,1722|1590|7615|1363|7005,7|4|3|1|2,||||,0,0,http_402,402,,0,0,0
19,google/gemma-4-31b-it,5,3044|4285|4192|9662|2038,6|8|2|7|9,||||,0,0,http_402,402,,0,0,0
20,google/gemma-4-31b-it,5,2457|9856|8280|5653|3690,0|6|9|7|5,||||,0,0,http_402,402,,0,0,0
1,google/gemma-4-31b-it,5,1842|5913|1848|9972|9125,0|6|0|4|7,||||,0,0,http_402,402,,0,0,0
2,google/gemma-4-31b-it,5,1910|3096|4154|2116|3143,8|6|4|6|6,||||,0,0,http_402,402,,0,0,0
3,google/gemma-4-31b-it,5,1137|5544|6537|2223|8717,5|4|6|1|5,||||,0,0,http_402,402,,0,0,0
4,google/gemma-4-31b-it,5,7657|2953|5712|2836|4447,2|9|7|2|5,||||,0,0,http_402,402,,0,0,0
5,google/gemma-4-31b-it,5,9314|8274|2461|1459|5978,2|3|1|1|5,||||,0,0,http_402,402,,0,0,0
6,google/gemma-4-31b-it,5,4455|9175|1849|4009|4905,0|5|3|0|2,||||,0,0,http_402,402,,0,0,0
7,google/gemma-4-31b-it,5,1653|6355|4385|8979|9099,3|6|9|6|7,||||,0,0,http_402,402,,0,0,0
8,google/gemma-4-31b-it,5,349|8723|5842|9752|7329,5|1|2|3|1,||||,0,0,http_402,402,,0,0,0
9,google/gemma-4-31b-it,5,5039|7022|5905|5639|1632,6|0|8|8|4,||||,0,0,http_402,402,,0,0,0
10,google/gemma-4-31b-it,5,5501|9684|2353|429|6775,9|3|1|3|3,||||,0,0,http_402,402,,0,0,0
11,google/gemma-4-31b-it,5,7842|6969|8772|6343|1615,6|1|7|8|2,||||,0,0,http_402,402,,0,0,0
12,google/gemma-4-31b-it,5,3919|1972|5629|3371|9037,3|6|8|4|5,||||,0,0,http_402,402,,0,0,0
13,google/gemma-4-31b-it,5,4418|7860|4225|1359|5188,2|2|7|4|7,||||,0,0,http_402,402,,0,0,0
14,google/gemma-4-31b-it,5,3615|7379|5017|295|8285,9|4|4|8|9,||||,0,0,http_402,402,,0,0,0
15,google/gemma-4-31b-it,5,2672|6952|3123|6970|7407,8|2|4|8|8,||||,0,0,http_402,402,,0,0,0
16,google/gemma-4-31b-it,5,9320|3394|6088|8887|2652,8|3|7|2|5,||||,0,0,http_402,402,,0,0,0
17,google/gemma-4-31b-it,5,1160|7469|3981|6562|129,9|9|9|0|5,||||,0,0,http_402,402,,0,0,0
18,google/gemma-4-31b-it,5,6399|1805|6835|7993|9270,0|0|9|9|0,||||,0,0,http_402,402,,0,0,0
19,google/gemma-4-31b-it,5,6226|5237|8776|4904|6507,4|5|1|0|3,||||,0,0,http_402,402,,0,0,0
20,google/gemma-4-31b-it,5,2429|4107|8891|8989|4931,7|7|1|7|1,||||,0,0,http_402,402,,0,0,0
1,google/gemma-4-31b-it,5,1207|1686|5620|217|7227,6|7|8|2|9,||||,0,0,http_402,402,,0,0,0
2,google/gemma-4-31b-it,5,5682|1823|9609|6402|2295,9|1|9|6|1,||||,0,0,http_402,402,,0,0,0
3,google/gemma-4-31b-it,5,9565|2680|8946|3308|5710,5|7|3|7|4,||||,0,0,http_402,402,,0,0,0
4,google/gemma-4-31b-it,5,8411|7153|2348|5781|4304,9|2|4|5|6,||||,0,0,http_402,402,,0,0,0
5,google/gemma-4-31b-it,5,3632|5551|2605|1384|2479,0|3|2|8|1,||||,0,0,http_402,402,,0,0,0
6,google/gemma-4-31b-it,5,9100|4003|9450|963|6469,4|4|2|4|4,||||,0,0,http_402,402,,0,0,0
7,google/gemma-4-31b-it,5,1885|5985|8541|3251|8147,2|4|8|0|8,||||,0,0,http_402,402,,0,0,0
8,google/gemma-4-31b-it,5,8683|5799|3554|1378|8800,4|0|5|3|7,||||,0,0,http_402,402,,0,0,0
9,google/gemma-4-31b-it,5,6994|1556|3848|2977|4183,4|6|7|1|3,||||,0,0,http_402,402,,0,0,0
10,google/gemma-4-31b-it,5,2494|9974|727|6742|8585,5|8|2|6|8,||||,0,0,http_402,402,,0,0,0
11,google/gemma-4-31b-it,5,5785|5597|589|2241|3600,2|1|0|5|1,||||,0,0,http_402,402,,0,0,0
12,google/gemma-4-31b-it,5,2061|2409|784|402|8791,1|0|0|8|7,||||,0,0,http_402,402,,0,0,0
13,google/gemma-4-31b-it,5,2167|765|7592|8708|5395,9|9|2|8|6,||||,0,0,http_402,402,,0,0,0
14,google/gemma-4-31b-it,5,3994|7485|3581|6116|4995,1|0|6|1|9,||||,0,0,http_402,402,,0,0,0
15,google/gemma-4-31b-it,5,9396|3499|753|8289|7939,3|6|4|9|5,||||,0,0,http_402,402,,0,0,0
16,google/gemma-4-31b-it,5,2114|9624|8829|9391|9442,7|8|7|5|0,||||,0,0,http_402,402,,0,0,0
17,google/gemma-4-31b-it,5,3202|3070|2492|8279|9949,5|6|5|3|8,||||,0,0,http_402,402,,0,0,0
18,google/gemma-4-31b-it,5,7715|7874|5167|9035|6074,0|9|3|7|3,||||,0,0,http_402,402,,0,0,0
19,google/gemma-4-31b-it,5,5923|1998|9205|2738|9281,3|5|0|6|3,||||,0,0,http_402,402,,0,0,0
20,google/gemma-4-31b-it,5,4976|4713|770|8268|5463,2|2|1|9|7,||||,0,0,http_402,402,,0,0,0
1,google/gemma-4-31b-it,5,3179|1321|4252|5815|2650,1|6|0|4|4,||||,0,0,http_402,402,,0,0,0
2,google/gemma-4-31b-it,5,7111|3094|2601|3348|8777,3|0|2|2|2,||||,0,0,http_402,402,,0,0,0
3,google/gemma-4-31b-it,5,7143|8250|8249|7768|3676,3|0|5|0|4,||||,0,0,http_402,402,,0,0,0
4,google/gemma-4-31b-it,5,2657|5810|4544|7644|9918,3|8|0|1|6,||||,0,0,http_402,402,,0,0,0
5,google/gemma-4-31b-it,5,2428|4953|2797|2998|7415,6|6|3|5|6,||||,0,0,http_402,402,,0,0,0
