model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemma-4-31b-it,1207,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,1686,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,5620,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,217,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,7227,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,5682,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,1823,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,9609,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,6402,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,2295,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,9565,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,2680,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,8946,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,3308,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,5710,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,8411,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,7153,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,2348,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,5781,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,4304,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,3632,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,5551,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,2605,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,1384,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,2479,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,9100,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,4003,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,9450,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,963,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,6469,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,1885,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,5985,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,8541,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,3251,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,8147,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,8683,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,5799,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,3554,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,1378,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,8800,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,6994,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,1556,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,3848,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,2977,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,4183,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,2494,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,9974,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,727,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,6742,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,8585,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,5785,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,5597,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,589,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,2241,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,3600,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,2061,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,2409,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,784,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,402,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,8791,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,2167,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,765,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,7592,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,8708,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,5395,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,3994,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,7485,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,3581,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,6116,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,4995,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,9396,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,3499,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,753,4,,0,,http_402,0,0,0
google/gemma-4-31b-it,8289,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,7939,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,2114,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,9624,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,8829,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,9391,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,9442,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,3202,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,3070,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,2492,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,8279,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,9949,8,,0,,http_402,0,0,0
google/gemma-4-31b-it,7715,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,7874,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,5167,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,9035,7,,0,,http_402,0,0,0
google/gemma-4-31b-it,6074,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,5923,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,1998,5,,0,,http_402,0,0,0
google/gemma-4-31b-it,9205,0,,0,,http_402,0,0,0
google/gemma-4-31b-it,2738,6,,0,,http_402,0,0,0
google/gemma-4-31b-it,9281,3,,0,,http_402,0,0,0
google/gemma-4-31b-it,4976,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,4713,2,,0,,http_402,0,0,0
google/gemma-4-31b-it,770,1,,0,,http_402,0,0,0
google/gemma-4-31b-it,8268,9,,0,,http_402,0,0,0
google/gemma-4-31b-it,5463,7,,0,,http_402,0,0,0
