batch_id,model,batch_size,file_numbers,true_labels,pred_labels,batch_correct,batch_attempted,error,http_status,raw_response,prompt_tokens,completion_tokens,total_tokens
1,google/gemma-4-31b-it,5,3179|1321|4252|5815|2650,1|6|0|4|4,||||,0,0,http_402,402,,0,0,0
2,google/gemma-4-31b-it,5,7111|3094|2601|3348|8777,3|0|2|2|2,||||,0,0,http_402,402,,0,0,0
3,google/gemma-4-31b-it,5,7143|8250|8249|7768|3676,3|0|5|0|4,||||,0,0,http_402,402,,0,0,0
4,google/gemma-4-31b-it,5,2657|5810|4544|7644|9918,3|8|0|1|6,||||,0,0,http_402,402,,0,0,0
5,google/gemma-4-31b-it,5,2428|4953|2797|2998|7415,6|6|3|5|6,||||,0,0,http_402,402,,0,0,0
6,google/gemma-4-31b-it,5,7079|849|9273|4115|2777,5|9|1|7|4,||||,0,0,http_402,402,,0,0,0
7,google/gemma-4-31b-it,5,6057|7534|6443|4996|4926,2|0|8|0|9,||||,0,0,http_402,402,,0,0,0
8,google/gemma-4-31b-it,5,7197|1736|6747|5196|9738,4|9|2|8|5,||||,0,0,http_402,402,,0,0,0
9,google/gemma-4-31b-it,5,7226|5138|1956|8026|1414,9|3|5|1|8,||||,0,0,http_402,402,,0,0,0
10,google/gemma-4-31b-it,5,9839|959|5455|9898|6645,7|0|9|4|0,||||,0,0,http_402,402,,0,0,0
11,google/gemma-4-31b-it,5,8381|5844|3915|8227|1586,4|6|1|2|9,||||,0,0,http_402,402,,0,0,0
12,google/gemma-4-31b-it,5,7807|848|5541|6538|7614,3|5|8|7|7,||||,0,0,http_402,402,,0,0,0
13,google/gemma-4-31b-it,5,5932|5423|3542|9154|8966,9|8|8|6|1,||||,0,0,http_402,402,,0,0,0
14,google/gemma-4-31b-it,5,433|4523|8718|1295|3395,5|4|7|3|3,||||,0,0,http_402,402,,0,0,0
15,google/gemma-4-31b-it,5,8616|2275|5533|4870|1981,5|2|8|7|3,||||,0,0,http_402,402,,0,0,0
16,google/gemma-4-31b-it,5,3983|3818|3610|6385|9268,8|4|9|1|6,||||,0,0,http_402,402,,0,0,0
17,google/gemma-4-31b-it,5,4029|1541|6191|7116|7357,0|9|2|5|1,||||,0,0,http_402,402,,0,0,0
18,google/gemma-4-31b-it,5,3825|449|3749|4104|6732,7|4|2|7|6,||||,0,0,http_402,402,,0,0,0
19,google/gemma-4-31b-it,5,7086|2022|1158|1174|6658,1|7|7|1|3,||||,0,0,http_402,402,,0,0,0
20,google/gemma-4-31b-it,5,3639|4457|8087|4825|999,6|2|5|8|9,||||,0,0,http_402,402,,0,0,0
